Sód;Na;11;#924400;22,99;Sód to pierwiastek chemiczny o liczbie atomowej 11, metal z I grupy układu okresowego, należący do grupy metali alkalicznych. Miękki, srebrzystobiały, silnie reaktywny. Sód jest szóstym najbardziej rozpowszechnionym pierwiastkiem w skorupie ziemskiej. Występuje w wielu minerałach, takich jak: skaleń, sodalit, czy sól kamienna.
Magnez;Mg;12;#ab6200;24,305;Magnez to pierwiastek chemiczny, metal ziem alkalicznych (druga grupa główna układu okresowego). Magnez po raz pierwszy został uznany za pierwiastek przez Josepha Blacka (1755), zaś wyodrębniony w formie czystej w 1808 roku przez Humphry’ego Davy’ego, który nadał mu łacińską nazwę.
Glin;Al;13;#eff4f6;26,982;Glin to pierwiastek chemiczny, metal z bloku p układu okresowego. Glin jest trzecim najpowszechniej występującym pierwiastkiem w skorupie ziemskiej. Od jego symbolu (oraz symbolu krzemu) wywodzi się dawna nazwa najbardziej zewnętrznej warstwy globu – sial.
Krzem;Si;14;#995100;28,085;Krzem to pierwiastek chemiczny, z grupy półmetali w układzie okresowym. Wartościowość w większości związków wynosi 4, rzadziej spotykane są związki z krzemem dwuwartościowym.
Fosfor;P;15;#4a9040;30,974;Fosfor to pierwiastek chemiczny, niemetal. Fosfor po raz pierwszy został wyizolowany (jako biały fosfor) w 1669. Nazwa pochodzi od zjawiska emisji słabego światła po wystawieniu na działanie tlenu. Pokrewny termin fosforescencja, oznaczający świecenie różnych substancji po wcześniejszym wystawieniu na działanie światła, pochodzi od nazwy fosforu.
Siarka;S;16;#4a9040;32,06;Siarka to pierwiastek chemiczny o liczbie atomowej 16, niemetal z bloku p w układzie okresowym. Siarka ma kilka odmian alotropowych, z których trzy najważniejsze to siarka rombowa, jednoskośna i amorficzna.
Chlor;Cl;17;#ffec01;35,45;Chlor to  pierwiastek chemiczny z grupy fluorowców, niemetal o liczbie atomowej 17. Chlor jest toksycznym żółtozielonym gazem około dwa i pół razy cięższym od powietrza, o nieprzyjemnym, duszącym zapachu. Jest silnym utleniaczem, wybielaczem i środkiem dezynfekującym. Wchodzi w skład wielu powszechnie spotykanych soli oraz innych związków.
Argon;Ar;18;#2394dd;39,95;Argon to pierwiastek chemiczny będący gazem szlachetnym. Jest praktycznie niereaktywny i nie ma żadnego znaczenia biologicznego, jest także jednym ze składników powietrza. Argon wyodrębnili i zidentyfikowali Lord Rayleigh i sir William Ramsay w 1894 roku, usuwając z powietrza tlen, azot, dwutlenek węgla i parę wodną.
Potas;K;19;#924400;39,098;Potas to pierwiastek chemiczny z grupy metali alkalicznych o liczbie atomowej 19. Potas odkrył i wyodrębnił w 1807 roku Humphry Davy poprzez elektrolizę wodorotlenku potasu. Polską nazwę zaproponował Filip Walter.
Wapń;Ca;20;#ab6200;40,078;Wapń to pierwiastek chemiczny z grupy berylowców (metali ziem alkalicznych) w układzie okresowym. Wapń to srebrzystobiały metal. Na powietrzu szybko pokrywa się warstwą tlenku CaO, musi więc być przechowywany bez jego dostępu, np. w nafcie, podobnie jak sód i potas. Metaliczny wapń ma twardość zbliżoną do ołowiu, można kroić go nożem, jednak dodany do innych miękkich metali znacznie zwiększa ich twardość.
Skand;Sc;21;#efc49b;44,956;Skand to pierwiastek chemiczny z grupy metali przejściowych. W naturze występuje jedyny trwały izotop 45. Izotopy 59, 60 i 61 rozpadają się po co najmniej 360 nanosekundach, izotop 39 w mniej niż 300 nanosekund. Czas rozpadu pozostałych izotopów wynosi od 83,79 dnia (izotop 46) po 12 milisekund (izotop 58).
Tytan;Ti;22;#efc49b;47,867;Tytan to pierwiastek chemiczny z grupy metali przejściowych w układzie okresowym o liczbie atomowej 22.
Wanad;V;23;#efc49b;50,942;Wanad to pierwiastek chemiczny z grupy metali przejściowych. Został odkryty po raz pierwszy w 1801 roku przez Andresa Manuela del Rio i później w 1830 roku przez Nilsa Gabriela Sefströma, który nadał mu obecną nazwę na cześć skandynawskiej bogini Vanadis.
Chrom;Cr;24;#efc49b;51,996;Chrom to pierwiastek chemiczny, metal przejściowy z bloku d układu okresowego. Nazwa wywodzi się od greckiego słowa „chroma” oznaczającego „kolor”. Chrom na różnych stopniach utlenienia tworzy liczne związki, które mają różne barwy. Np. rubin to kryształ korundu z niewielką domieszką atomów chromu(III).
Mangan;Mn;25;#efc49b;54,938;Mangan to pierwiastek chemiczny należący do grupy metali przejściowych. Ma 15 izotopów z przedziału mas 49–62 i izomery jądrowe 51m, 52m, 54m. Trwały jest tylko izotop 55, który stanowi niemal 100% składu izotopowego manganu występującego w naturze.
Żelazo;Fe;26;#efc49b;55,845;Żelazo to pierwiastek chemiczny o liczbie atomowej 26, metal z VIII grupy pobocznej układu okresowego, należący do grupy metali przejściowych. Pod względem masy żelazo jest najczęściej występującym pierwiastkiem chemicznym na Ziemi. Stanowi większość składu jej jądra zewnętrznego i wewnętrznego. Jest także czwartym najbardziej powszechnym pierwiastkiem w skorupie ziemskiej.
Kobalt;Co;27;#efc49b;58,933;Kobalt to pierwiastek chemiczny z grupy metali przejściowych układu okresowego. Czysty kobalt jest lśniącym, srebrzystym metalem o własnościach ferromagnetycznych. Jest stosowany jako dodatek do stopów magnetycznych.
Nikiel;Ni;28;#efc49b;58,693;Nikiel to  pierwiastek chemiczny o liczbie atomowej 28. Jest biało-srebrzystym metalem o lekkim złotym zabarwieniu. Nikiel należy do grupy metali przejściowych, charakteryzuje się typową dla tej grupy metali twardością i ciągliwością. Czysty nikiel wykazuje stosunkowo dużą aktywność chemiczną, która jest szczególnie widoczna kiedy metal jest w postaci proszku, co zwiększa powierzchnię, na której zachodzi reakcja.
Miedź;Cu;29;#efc49b;63,546;Miedź to pierwiastek chemiczny z grupy metali przejściowych. Nazwa łacińska (a za nią w innych językach, w tym angielskim) pochodzi od Cypru, gdzie w starożytności wydobywano miedź. Początkowo nazywano ją „metalem cypryjskim” (cyprum aes), a następnie cuprum. Ma 26 izotopów z przedziału mas 55–80. Trwałe są dwa: 63 i 65.
Cynk;Zn;30;#efc49b;65,38;Cynk to pierwiastek chemiczny, metal przejściowy z grupy cynkowców w układzie okresowym (grupa 12). Został odkryty w Indiach lub Chinach przed 1500 rokiem p.n.e. Do Europy wiedza o tym metalu zawędrowała dopiero w XVII wieku.
Gal;Ga;31;#eff4f6;69,723;Gal to pierwiastek chemiczny z bloku p układu okresowego, o liczbie atomowej 31. Jest twardym i kruchym metalem o kolorze srebrzystobiałym. Ma przełam muszlowy podobny do szkła. Topi się w temperaturze 29,76 °C, trzymany w dłoni zamienia się w ciecz.
German;Ge;32;#995100;72,630;German to pierwiastek chemiczny z bloku p układu okresowego. Jest twardym, błyszczącym, srebrzystoszarym półmetalem o właściwościach chemicznych podobnych do innych węglowców, przede wszystkim krzemu i cyny. Tworzy wiele związków organicznych.
Arsen;As;33;#995100;74,922;Arsen to pierwiastek chemiczny z grupy azotowców o właściwościach metaloidu. Arsen i jego związki są silnie trujące. Występuje w skorupie ziemskiej w ilości 2,5 ppm (zajmując 20. miejsce pod względem rozpowszechnienia wśród pierwiastków). Tworzy ponad 200 minerałów, z których najbardziej rozpowszechnione są: arsenopiryt, lelingit, aurypigment, realgar. Często towarzyszący także złożom siarczkowym innych metali, np. pirytom, chalkopirytom, galenie, blendzie cynkowej. W naturze arsen występuje również w stosunkowo dużej liczbie związków arsenoorganicznych. Są to np. kwas kakodylowy i inne kwasy arsenoorganiczne, organiczne pochodne arsyny, arsenowe analogi biocząsteczek, np. arsenobetaina lub arsenocholina.
Selen;Se;34;#4a9040;78,971;Selen to pierwiastek chemiczny z grupy niemetali w układzie okresowym. Znanych jest kilkanaście jego izotopów z przedziału mas 65–91, z których trwałych jest 6. Został odkryty w roku 1817 przez J.J. Berzeliusa. Nazwa pochodzi od Selene (stgr. Σελήνη), greckiej nazwy Księżyca i bogini która go uosabiała. Berzelius nazwał go tak, ponieważ występuje razem z tellurem, którego nazwa wywodzi się od tellus, czyli po łacinie „Ziemia”. Chciał przy tym zaznaczyć, że selen nie jest „z tej samej ziemi” co tellur i różni się od niego właściwościami.
Brom;Br;35;#ffec01;79,904;Brom to pierwiastek chemiczny, niemetal z grupy fluorowców w układzie okresowym. W warunkach normalnych jest brunatnoczerwoną cieczą o ostrym, nieprzyjemnym zapachu zbliżonym do zapachu chloru. Jest jedynym niemetalem występującym w warunkach normalnych w postaci cieczy.
Krypton;Kr;36;#2394dd;83,798;Krypton to pierwiastek chemiczny z grupy helowców w układzie okresowym. Jest to bezbarwny, niereaktywny gaz. Został odkryty w roku 1898 przez W. Ramsaya i M.W. Traversa. Nazwa pochodzi od greckiego kryptos – „ukryty”.
Rubid;Rb;37;#924400;85,468;Rubid to pierwiastek chemiczny z grupy metali alkalicznych układu okresowego.W postaci czystej rubid jest bardzo miękkim, ciągliwym metalem o srebrzysto-szarym połysku. Jego własności chemiczne są zbliżone do potasu (który jest mniej reaktywny od rubidu) oraz cezu (który jest bardziej reaktywny). Jest drugim po cezie najbardziej elektrododatnim z nieradioaktywnych metali alkalicznych (X = 0,82). Topi się w temperaturze 39,3 °C.
Stront;Sr;38;#ab6200;87,62; Stront to pierwiastek chemiczny z grupy berylowców (metali ziem alkalicznych) w układzie okresowym.Stront jest srebrzystoszarym metalem, podobnym do wapnia, ale bardziej miękkim. Na jego powierzchni, tak jak w przypadku glinu, tworzy się ochronna warstwa tlenków (pasywacja). Oczyszczona powierzchnia jest bardzo reaktywna – czysty stront reaguje wybuchowo z wodą i może zapalić się na powietrzu. Stront tworzy tlenki, wodorotlenki, fluorki oraz inne sole kwasów nieorganicznych i organicznych.
Itr;Y;39;#efc49b;88,906;Itr to pierwiastek chemiczny, z grupy metali przejściowych w układzie okresowym.W formie czystej itr jest srebrzystoszarym, stosunkowo stabilnym na powietrzu metalem. Na jego powierzchni tworzy się trwała warstwa tlenków, tak jak to jest w przypadku glinu (pasywacja). Jego własności chemiczne przypominają magnez. Jest łatwopalny, ale nie ulega samorzutnej reakcji z tlenem. Z wodą reaguje dość powoli z utworzeniem wodorotlenku. Wióry itru zapalają się na powietrzu gdy temperatura przekroczy 400 °C.
Cyrkon;Zr;40;#efc49b;91,224; Cyrkon to  pierwiastek chemiczny, z grupy metali przejściowych w układzie okresowym.Cyrkon występuje w skorupie ziemskiej w ilości 130 ppm wagowo (30 ppm atomów). Przypomina właściwościami chemicznymi hafn znajdujący się bezpośrednio pod nim w układzie okresowym – rozdzielenie ich jest trudne
Niob;Nb;41;#efc49b; Niob to pierwiastek chemiczny z grupy metali przejściowych układu okresowego.Jest to stalowoszary, miękki, ciągliwy i kowalny metal, podobny właściwościami do tantalu. Nie ulega korozji nawet w wysokiej temperaturze, jest odporny na działanie mocnych kwasów nieorganicznych i wody królewskiej, a także stopionych alkaliów. Reaguje, podobnie jak tantal, z kwasem fluorowodorowym, z utworzeniem kompleksu, kwasu sześciofluoroniobowego(V):
Molibden;Mo;42;#efc49b;95,95; Molibden to pierwiastek chemiczny z grupy metali przejściowych.Czysty molibden jest srebrzystobiały, bardzo twardy i ma jedną z najwyższych temperatur topnienia spośród pierwiastków. W małych ilościach nadaje stali odporność chemiczną i twardość, zmniejszając przy tym jej kruchość.
Technet;Tc;43;#efc49b;97; Technet to pierwiastek chemiczny z grupy metali przejściowych w układzie okresowym.Jest pierwszym otrzymanym sztucznie pierwiastkiem. Nazwa wywodzi się od greckiego słowa τεχνητoς technetos – sztuczny. Technet jest obok prometu jednym z dwóch pierwiastków o liczbie atomowej mniejszej niż ołów, który nie ma żadnego stabilnego izotopu.
Ruten;Ru;44;#efc49b;101,07; Ruten to  pierwiastek chemiczny z grupy metali przejściowych (żelazowców) w układzie okresowym.W zapiskach Jędrzeja Śniadeckiego z roku 1807 znajduje się informacja, że wyizolował on prawdopodobnie pierwiastek 44, który został przez niego nazwany „westem”, łac. Vestium (od Westy). Swoje odkrycie opublikował w pracy zatytułowanej Rosprawa o nowym metallu w surowey platynie odkrytym (Wilno 1808, j. pol.; przedruk w j. ros. „Technologiczeskij Żurnal”, 1809).
Rod;Rh;45;#efc49b;102,91; Rod to  pierwiastek chemiczny z grupy metali przejściowych w układzie okresowym.Nazwę zapożyczył on od greckiego słowa rhodon (róża), gdyż roztwory soli rodu mają barwę różową.
Pallad;Pd;46;#efc49b;106,42; Pallad to pierwiastek chemiczny z grupy niklowców w układzie okresowym, należący do triady platynowców lekkich.Został odkryty w 1803 roku przez Williama Hyde Wollastona w Londynie. Nazwa pochodzi od greckiej bogini Pallas, czyli Ateny, i została nadana w związku z niedawnym (1802) odkryciem planetoidy Pallas. Jako pierwszy polską nazwę pallad zaproponował Filip Walter.
Srebro;Ag;47;#efc49b;107,87; Srebro to pierwiastek chemiczny z grupy metali przejściowych w układzie okresowym.Jest srebrzystobiałym metalem, o największej przewodności elektrycznej i termicznej. W przyrodzie występuje w stanie wolnym, a także w minerałach, takich jak argentyt czy chlorargyryt. Większość wydobywanego srebra występuje jako domieszka rud miedzi, złota, ołowiu i cynku.
Kadm;Cd;48;#efc49b;112,41; Kadm to pierwiastek chemiczny z grupy metali przejściowych układu okresowego.Nazwa pochodzi od słowa kadmeia, będącego grecką nazwą rudy cynku, kalaminu, w której kadm został wykryty. Minerałem tego pierwiastka, bez znaczenia przemysłowego, jest np. grenokit (CdS) i monteponit (CdO), ale jest zwykle uzyskiwany jako produkt uboczny przy produkcji cynku. Stanowi 0,00005% masy skorupy ziemskiej.
Ind;In;49;#eff4f6;114,82; Ind to pierwiastek chemiczny, metal z bloku p układu okresowego.Został odkryty w 1863 r. przez Ferdinanda Reicha i Hieronymousa Theodora Richtera z Akademii Górniczej we Freibergu. Nazwa pochodzi od koloru indygo, na jaki barwi płomień (linia spektralna 451,13 nm). W temperaturze pokojowej jest odporny na działanie powietrza. Dopiero w podwyższonej temperaturze tworzy tlenek. Nie reaguje z kwasami nieutleniającymi. Z kwasem siarkowym i azotowym reaguje na gorąco. Rozpuszcza się w roztworach zasad. W wyższych temperaturach reaguje z chlorowcami, siarką i azotem.
Cyna;Sn;50;#eff4f6;118,71; Cyna to pierwiastek chemiczny, metal z bloku p w układzie okresowym.Cyna tworzy odmiany alotropowe. W warunkach standardowych występuje w odmianie β (beta), zwanej cyną białą, trwałej powyżej 13,2 °C. Odmiana ta ma sieć krystaliczną w układzie tetragonalnym, o gęstości 7,3 g/cm³. W niższej temperaturze przechodzi w odmianę regularną α (alfa) o gęstości 5,85 g/cm³. Zmiana gęstości jest równoznaczna ze zmianą objętości, co powoduje, że cyna rozpada się, tworząc szary proszek zwany cyną szarą. Zjawisko to nazywane jest zarazą cynową. Czysta cyna biała jest ciągliwa i kowalna, odporna na korozję.
Antymon;Sb;51;#924400;121,76; Antymon to pierwiastek chemiczny z grupy metaloidów.ntymon nie reaguje z kwasami nieutleniającymi, gdyż potencjał standardowy Sb(III)/Sb wynosi 0,15 V. Gorący stężony kwas siarkowy wprowadza antymon do roztworu w postaci jonów Sb3+, a gorący stężony kwas azotowy przeprowadza antymon w biały i trudno rozpuszczalny kwas antymonowy.
Tellur;Te;52;#924400;127,60; Tellur to pierwiastek chemiczny, tlenowiec z grupy półmetali w układzie okresowym.Związki zawierające tellur zostały odkryte w 1782 w kopalni złota w dawnej Kleinschlatten (Transylwania), a obecnie w Zlatnej (Rumunia) przez austriackiego mineraloga Franza-Josepha Müllera von Reichensteina, nazwany przez Martina Heinricha Klaprotha w 1798.
Jod;I;53;#ffec01;126,90; Jod to  pierwiastek chemiczny z grupy 17 – fluorowców.Odkryty w 1812 roku przez Bernarda Courtois, co zostało później potwierdzone przez chemików: Charles’a Desormes’a i Nicholasa Clémenta. Właściwości jodu przebadał dokładniej w 1813 roku inny znany francuski chemik Joseph Louis Gay-Lussac, który nadał temu pierwiastkowi nazwę. Do pierwszeństwa rościł sobie też prawa Humphry Davy, który pracował niezależnie, a opublikował swoje wyniki kilkanaście dni po Desormie i Clémencie.
Ksenon;Xe;54;#2394dd;131,29; Ksenon to pierwiastek chemiczny z grupy gazów szlachetnych w układzie okresowym.Stosowany jest również do wypełniania lamp błyskowych, żarówek dużej mocy i jarzeniówek. Zastosowanie w żarówkach wynika z jego bierności chemicznej oraz małej przewodności cieplnej, spowodowanej dużą masą atomową oraz tym, iż ksenon występuje w postaci atomowej.
Cez;Cs;55;#924400;132,91;Cez to pierwiastek chemiczny, metal alkaliczny. Nazwa łacińska caesium (błękitny) pochodzi od silnych niebieskich linii spektralnych w widmie cezu.Jest jednym z najbardziej reaktywnych pierwiastków, na powietrzu bardzo szybko pokrywa się ciemnym nalotem (tlenku cezu), z wodą i kwasami reaguje wybuchowo.
Bar;Ba;56;#ab6200;137,33;Bar to pierwiastek chemiczny, metal ziem alkalicznych. Nazwa pochodzi od greckiego słowa βαρύς – ciężki, co związane jest z dużą gęstością jego minerału, barytu (metaliczny bar należy natomiast do grupy metali lekkich).
Lantan;La;57;#ff67fe;138,91;Lantan to pierwiastek chemiczny należący do bloku f w układzie okresowym. Został odkryty w 1839 roku przez ucznia Berzeliusa Carla Gustawa Mosandera w zanieczyszczeniach tlenku ceru. Nazwę nadał Berzelius od greckiego słowa lanthanein – ukrywać się, gdyż pierwiastek ten „ukrywał się” w tlenku ceru.
Cer;Ce;58;#ff67fe;140,12;Cer to pierwiastek chemiczny, lantanowiec. Nazwa pochodzi od planety karłowatej Ceres. Odkryty w 1803 roku przez niemieckiego chemika Martina Heinricha Klaprotha, a także przez Berzeliusa i Hisingera.
Prazeodym;Pr;59;#ff67fe;140,91;Prazeodym to pierwiastek chemiczny z grupy lantanowców w układzie okresowym. Nazwa pochodzi od greckich słów πρασιoς (prasios) i διδυμoς (didymos) dających razem określenie „zielony bliźniak”.
Neodym;Nd;60;#ff67fe;144,24;Neodym to pierwiastek chemiczny, lantanowiec. Nazwa pochodzi od greckich słów neos i didymos dających razem określenie „nowy bliźniak”. Został odkryty w 1885 roku wraz z prazeodymem przez Carla Auera von Welsbacha w wyniku rozdzielenia tzw. dydymu na dwa osobne pierwiastki.
Promet;Pm;61;#ff67fe;145;Promet to pierwiastek chemiczny z grupy lantanowców w układzie okresowym. Został wytworzony sztucznie, nie ma żadnych stabilnych izotopów – wszystkie są radioaktywne. Jego śladowe ilości mogą powstawać w przyrodzie w wyniku naturalnych procesów rozpadu jądrowego. Nazwa pochodzi od postaci z mitologii greckiej – Prometeusza.
Samar;Sm;62;#ff67fe;150,36;Samar to pierwiastek chemiczny, lantanowiec. Nazwa pochodzi od samarskitu - minerału, z którego został wyizolowany w 1879 r. przez francuskiego chemika Paula Lecoq de Boisbaudrana.
Europ;Eu;63;#ff67fe;151,96;Europ to pierwiastek chemiczny, lantanowiec, srebrzystobiały metal. Nazwa pochodzi od nazwy kontynentu – Europy. W technice jądrowej uważany za truciznę reaktorową, z uwagi na duży przekrój czynny pochłaniania neutronów.
Gadolin;Gd;64;#ff67fe;157,25;Gadolin to pierwiastek chemiczny z grupy lantanowców w układzie okresowym, posiadający silne własności ferromagnetyczne. Nazwa pochodzi od nazwiska fińskiego mineraloga i chemika Johana Gadolina. Został odkryty w 1880 r. przez Jeana Charles’a Galissarda de Marignac.
Terb;Tb;65;#ff67fe;158,93;Terb to pierwiastek chemicznyz grupy lantanowców. Jest to jeden z czterech pierwiastków, których nazwy zostały utworzone od szwedzkiej miejscowości Ytterby (są to: erb, itr, iterb, terb). Został odkryty w 1843 r.
Dysproz;Dy;66;#ff67fe;162,5;Dysproz to pierwiastek chemiczny o liczbie atomowej 66, jeden z metali ziem rzadkich. W przyrodzie nie występuje w postaci wolnej, ale najczęściej jako dodatkowy składnik minerału ksenotymu. Dysproz został odkryty w 1886 roku przez Paula Émila Lecoqa de Boisbaudrana, lecz po raz pierwszy w czystej postaci został otrzymany dopiero w latach 50. XX wieku za pomocą wymiany jonowej. Ze względu na swój przekrój czynny używany jest do produkcji prętów kontrolnych w reaktorach jądrowych, a ze względu na swoją wysoką podatność magnetyczną na magnetyzację w urządzeniach do przechowywania danych jako składnik stopu Terfenol-D.
Holm;Ho;67;#ff67fe;164,93;Holm to pierwiastek chemiczny z grupy lantanowców w układzie okresowym. Nazwa pochodzi od zlatynizowanej nazwy stolicy Szwecji – Sztokholmu (Holmia), nadał ją jeden z odkrywców holmu – szwedzki uczony Per Teodor Cleve. Pierwiastek ten został niezależnie odkryty przez Cleve’a i wspólnie przez Marca Delafontaine’a i Jacques’a Louisa Soreta w 1878 r. Cleve wyodrębnił ten pierwiastek pracując nad oczyszczaniem tlenku erbu, zaś Delafontaine i Soret wykryli go metodami spektroskopowymi.
Erb;Er;68;#ff67fe;167,26;Erb to pierwiastek chemiczny, lantanowiec. Jest to jeden z czterech pierwiastków, których nazwy zostały utworzone od szwedzkiej miejscowości Ytterby (są to: erb, itr, iterb, terb). Pierwiastek został odkryty w 1843 przez Carla Mosandera.
Tul;Tm;69;#ff67fe;168,93;Tul to pierwiastek chemiczny z grupy lantanowców w układzie okresowym, należący do tzw. metali ziem rzadkich. Tul jest najrzadszym lantanowcem występującym na Ziemi (promet jest rzadszym, ale nie występuje naturalnie na Ziemi). Jest łatwym w obróbce srebrzysto-szarym metalem. Pomimo jego wysokiej ceny, tul jest używany jako źródło promieniowania w przenośnych aparatach Roentgena i w laserach opartych na ciele stałym.
Iterb;Yb;70;#ff67fe;173,05;Iterb to pierwiastek chemiczny z grupy lantanowców w układzie okresowym. Jest to jeden z czterech pierwiastków, których nazwy zostały utworzone od szwedzkiej miejscowości Ytterby, są to: erb, itr, iterb i terb. Został odkryty w 1907 r. niezależnie przez Georges'a Urbaina i Carla Auera von Welsbacha.
Lutet;Lu;71;#ff67fe;174,97;Lutet to pierwiastek chemiczny z grupy lantanowców w układzie okresowym. Zgodnie z klasyfikacją IUPAC lutet jest zaliczany do lantanowców. Także zgodnie z klasyfikacją IUPAC należy on do bloku d, w wyniku czego jest jedynym lantanowcem z okresu 6 niewchodzącym do bloku f. Przez występowanie w bloku d należy on do grupy skandowców.
Hafn;Hf;72;#efc49b;178,49;Hafn to pierwiastek chemiczny, metal przejściowy. Nazwa pochodzi od łacińskiej nazwy Kopenhagi „Hafnia”, gdzie został odkryty. Odkrywcami hafnu są György von Hevesy z Węgier i Dirk Coster z Holandii. Został odkryty w 1922 roku. O odkryciu poinformował Niels Bohr w przemówieniu wygłoszonym 11 grudnia 1922 roku, w związku z otrzymaniem Nagrody Nobla w dziedzinie fizyki.
Tantal;Ta;73;#efc49b;180,95;Tantal to pierwiastek chemiczny z grupy metali przejściowych. Nazwa pochodzi od Tantala – postaci w mitologii greckiej, ojca Niobe. Jest kowalnym, stalowoszarym metalem, bardzo podobnym do niobu. Tantal jest odporny na działanie mocnych kwasów nieorganicznych i wody królewskiej, gdyż ulega pasywacji, jest także odporny na korozję. Tantal reaguje natomiast z kwasem fluorowodorowym, tworząc kompleks fluorkowy.
Wolfram;W;74;#efc49b;183,84;Wolfram to pierwiastek chemiczny z grupy metali przejściowych w układzie okresowym. Nazwa pochodzi od wolframitu, minerału, z którego wolfram został wyodrębniony po raz pierwszy. Dawna nazwa polska tungsten pochodzi od szwedzkich słów tung – ‘ciężki’ i sten – ‘kamień’ nazwa o takiej etymologii używana jest współcześnie w języku angielskim, francuskim i kilku innych.
Ren;Re;75;#efc49b;186,21;Ren to pierwiastek chemiczny z grupy metali przejściowych. Zaliczany jest do metali szlachetnych. Nazwa pochodzi od rzeki Ren. Istnienia tego pierwiastka metodami spektroskopowymi dowiedli Walter Noddack, Ida Tacke i Otto Berg w 1925 roku.
Osm;Os;76;#efc49b;190,23;Osm to pierwiastek chemiczny z grupy żelazowców (triada platynowców ciężkich). Nazwa pochodzi od greckiego słowa osme oznaczającego zapach. Teoretycznie ma on największą gęstość spośród wszystkich znanych pierwiastków, jednak według niektórych pomiarów większą wartość stwierdzono dla irydu.
